name,inp_vessels,out_vessels,x,y,z
L2_E0,L2_E15,,40.323465,43.13673,10.38505545
L2_E1,L2_E15,,41.36541498581676,42.09478005673296,9.933531422924805
L2_E2,L2_E3 L2_E16,,44.007502408822035,38.38097240882203,14.674535059387207
L2_E3,L2_E4 L2_E13,L2_E2,42.3552675,38.9168325,16.480631475
L2_E4,L2_E17,L2_E3,39.832260000000005,41.216565,17.35142805
L2_E5,L2_E17,L2_E11,38.17055155755369,42.570916544389796,15.545331634387207
L2_E6,L2_E17,L2_E14,38.66139073891287,42.77419191669937,15.545331634387207
L2_E7,L2_E17,L2_E15,39.255179921446675,42.44887124754521,15.545331634387207
L2_E8,L2_E17,,38.14430098571778,42.57219679774235,17.79106999909898
L2_E9,L2_E18,L2_E16,40.8652787889534,37.90614100680796,18.81350649584961
L2_E10,L2_E18,L2_E17,39.54311117834321,39.60075019787172,18.81350649584961
L2_E11,L2_E5,,37.91155254327146,42.73635046974284,13.320198886763169
L2_E12,,L2_E13,40.04213856382458,39.60451952127486,11.288104057312012
L2_E13,L2_E12,L2_E3,40.88611803829475,39.885846012764915,15.351821284387206
L2_E14,L2_E6,,39.15259573891287,43.44401691669937,11.739628084387206
L2_E15,L2_E7,L2_E0 L2_E1,40.68413992144667,42.49352624754521,12.191152234387207
L2_E16,L2_E9,L2_E2,42.4803012889534,37.854043506807955,16.93215587084961
L2_E17,L2_E10,L2_E4 L2_E5 L2_E6 L2_E7 L2_E8,38.635126178343214,41.84838519787172,17.80295244584961
L2_E18,L2_E19,L2_E9 L2_E10,40.34121704076243,37.71858948730469,19.57050600874934
L2_E19,,L2_E18,44.12156620373987,31.258499145507816,19.708750447174825
